run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,16,600.0,431552.844394774,4009344.3763174647,8.780125617980957,8m-array,8.0,111.98933805285452,105.49291311259303,True,104.8380279999931,0.06821293941986295,0.0062466370752412015,0.15355214476585388,0.0
near,16,650.0,431602.4423901813,4009350.703943527,9.10181999206543,8m-array,8.0,120.32793087079521,105.49291311259303,True,112.85684474782212,0.06619967215694533,-0.06525019950436994,0.15355214476585388,0.0
near,17,500.0,431475.9245606937,4009171.8862069757,7.81941556930542,8m-array,8.0,101.01797716731916,100.84334043626677,True,106.21412254559976,-0.048921416980588384,-0.05056561199785092,0.15355214476585388,0.0
near,17,550.0,431525.2646796133,4009179.9826670047,8.214468955993652,8m-array,8.0,101.30360059378434,95.07601314665045,True,106.81771665127319,-0.051621736827522136,-0.10992280936837251,0.15355214476585388,0.0
near,17,600.0,431574.6047985329,4009188.0791270337,8.579984664916992,8m-array,8.0,101.64663741176261,105.49291311259303,True,101.1358024691357,0.005050980267673255,0.04308178248535688,0.15355214476585388,0.0
near,17,650.0,431623.9449174525,4009196.1755870623,8.912273406982422,8m-array,8.0,101.34438375311981,105.49291311259303,True,99.21263826137212,0.02148663244023097,0.06330115760731769,0.15355214476585388,0.0
near,17,700.0,431673.28503637214,4009204.2720470913,9.215889930725098,8m-array,8.0,100.72065194673155,248.35648003720473,False,123.96189584675857,-0.1874869994627849,1.0034904947260768,0.15355214476585388,0.0
near,17,750.0,431722.62515529175,4009212.36850712,9.494488716125488,8m-array,8.0,100.95622006803207,98.08141160664577,True,123.69045081281732,-0.18379940080572033,-0.20704136041129073,0.15355214476585388,0.0
near,18,500.0,431507.2025130882,4009016.9831330734,7.564827919006348,8m-array,8.0,102.49171291127561,103.97144730968249,True,101.13914834009114,0.013373303941974335,0.028003982790792747,0.15355214476585388,0.0
near,18,550.0,431555.8108298023,4009028.6977199726,7.971118927001953,8m-array,8.0,119.54970563968449,111.65373913878733,True,117.46867074588617,0.017715658827025527,-0.04950197844392046,0.15355214476585388,0.0
near,18,600.0,431604.4191465165,4009040.4123068717,8.365997314453125,8m-array,8.0,119.73790721928118,107.93907746708058,True,118.7246376811593,0.008534618912403591,-0.09084517270159087,0.15355214476585388,0.0
near,18,650.0,431653.0274632306,4009052.1268937713,8.77799129486084,8m-array,8.0,101.66622841003965,105.49291311259303,True,109.87527007624175,-0.07471236849298202,-0.039884834509237854,0.15355214476585388,0.0
