phase,case,replicate,transfer,gain,selected,recovered,s1_hat,s2_hat,s1_true,s2_true,separation_true,tolerance,alternatives,boundary
evaluation,physical_overlap,9,constant,0.49735491554389766,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,9,geometry,0.5343000016521975,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,10,constant,0.5122445329839489,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,10,geometry,0.5194110629570199,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,11,constant,0.48243907112693263,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_overlap,11,geometry,0.49321042818191463,True,False,0.3999999999999999,0.46666666666666656,0.41915855864488777,0.45828742987471477,0.039128871229827,0.00978221780745675,0,False
evaluation,physical_separable,0,constant,0.500158600002124,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,0,geometry,0.5066226804725904,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,1,constant,0.5054576816691583,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,1,geometry,0.516164470298786,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,2,constant,0.5325904094641747,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
