scale,correlation_s,partition,replicate,error,gain,improved_folds,stable,category,slope_span,offset_ratio_cv,offset_ratio,delta_s
0,5,primary,46,,-0.8260660104992044,0,True,no_predictive_advantage,0.03583558438367168,0.30011399593419535,0.1389779596627033,0.0032433835428078983
0,5,primary,47,,-0.28437213362226177,1,False,no_predictive_advantage,0.07159600274694089,0.19992687746599033,0.2365961293941138,0.00120607316608623
0,5,primary,48,,0.06250561025484469,3,False,descriptive_or_unstable,0.0582446566899677,0.17209120188011298,0.44024026055404086,-0.010946530600880855
0,5,primary,49,,0.7205044614274059,4,True,repeated_predictive_stable,0.015396803677258042,0.08136364929846691,0.25733228221977733,0.0010505454470662312
0,5,primary,50,,-0.8072191446819019,1,True,no_predictive_advantage,0.043348975955399105,0.3242863817326614,0.1550545611617172,0.0006798457911617595
0,5,primary,51,,0.5908735648847746,3,True,descriptive_or_unstable,0.01679777620730105,0.16819471145201664,0.2913281154306273,0.0009443731908713726
0,5,primary,52,,0.5125264636324051,3,True,descriptive_or_unstable,0.017785786521785973,0.17926385059459649,0.297192289426681,-0.00105832976206921
0,5,primary,53,,-0.9748172074393737,0,True,no_predictive_advantage,0.043993242007896394,0.3402509298613788,0.10418983854053994,0.0010897659025101425
0,5,primary,54,,0.49027407836922277,3,True,descriptive_or_unstable,0.026536041431105717,0.11525601377730518,0.2719018403354645,-0.0002125696733292215
0,5,primary,55,,0.5937465663512957,4,True,repeated_predictive_stable,0.005567058217976872,0.032855058913185145,0.2512344230847748,0.0009089412821340348
0,5,primary,56,,-1.30305590559809,0,False,no_predictive_advantage,0.08063875387815322,0.3886856078663969,0.07679928444619644,0.0006037315185718484
0,5,primary,57,,0.4552889749856195,4,True,repeated_predictive_stable,0.016235460606574048,0.20123803148987754,0.22908957620959008,-0.0007835583211754371
0,5,primary,58,,-0.08526180801723582,2,False,no_predictive_advantage,0.0647513233286432,0.34389746855509135,0.3173688819572462,0.00501092012301424
0,5,primary,59,,-0.548480685488568,0,True,no_predictive_advantage,0.04264994291970292,0.34693659973832347,0.15474612321700046,-0.0009468873101275421
0,5,primary,60,,0.15080423386365704,2,False,descriptive_or_unstable,0.07932568799725936,0.32604047172259026,0.42550292726947814,-0.0077804493177869305
0,5,primary,61,,0.6801188203217534,4,True,repeated_predictive_stable,0.013724048009429113,0.0998409624267747,0.3190963316499874,-0.0014890282500433782
0,5,primary,62,,0.6225223339532633,3,True,descriptive_or_unstable,0.026621398188396372,0.16166449677579534,0.3643621415847562,0.00037849043583670916
0,5,primary,63,,0.21362983895737153,2,True,descriptive_or_unstable,0.03892911276712113,0.30917685269122785,0.3719672190266192,7.019612796865804e-06
0,5,primary,64,,-0.2695385057402564,1,True,no_predictive_advantage,0.022555932793322242,0.23274799925373554,0.21715309252150497,0.0016902474792476196
0,5,primary,65,,0.5458087481166629,4,True,repeated_predictive_stable,0.03078252263301079,0.10836529300044294,0.35845503249279426,0.0025029952188494464
0,5,primary,66,,0.31749948259594096,4,True,repeated_predictive_stable,0.015207383500390304,0.10411771130143438,0.14935851249932502,-0.0009257637697365206
