phase,family,replicate,axis,separation_bins,ratio,noise_tau_s,score,valid_structure,denominator,E_early,E_mid1,E_mid2,E_late,pair_counts,truth_primary_s,ols_s,circular_s,r2,frozen_valid,relative_slope_error,B_slope_error_over_10pct,block15i_detects_B,block15i_m1_gain,block15i_amp_corr,A_slopes,control,decision,block15i_decision
evaluation,B_static_observed,1,tangential,1.452,1.0,5.0,1.5416622909468412,True,0.029835373944961704,0.18524777204629841,0.8358864171769901,1.5740879104448782,0.8655425435675814,61;135;195;105,0.40000000000205155,0.3975332378649001,0.38718251663245945,0.9929602245953886,True,0.006166905342847041,False,False,0.03940801945192096,0.28150774543435086,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_static_observed,2,tangential,1.452,1.0,0.0,0.207794081658059,True,0.028059071821390412,0.7863401864283939,1.2213394790096674,1.7683394120132094,0.9679530534651468,61;135;195;105,0.40000000000205155,0.39766560194759726,0.39228680184012693,0.9958240019291242,True,0.0058359951361057925,False,False,0.021012017783670345,0.4252982383767771,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,B_static_observed,3,tangential,1.452,1.0,5.0,1.5512487223080484,True,0.028100331926879232,0.19807046537644682,0.8904926374485539,1.6525004758864033,0.9343691310696985,61;135;195;105,0.40000000000205155,0.4007495068279069,0.3951047864459528,0.9953871690780938,True,0.0018737670646287383,False,False,0.024664364302177555,0.7899070515931812,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_static_observed,4,tangential,1.452,1.0,0.0,0.21076727374580986,True,0.02910616933305161,0.7466658666861377,1.1985576086384175,1.7321612540758244,0.9218523396650149,61;135;195;105,0.40000000000205155,0.3995561250050844,0.3940043456950296,0.9970811234376316,True,0.0011096874924121354,False,False,0.013316005656939356,0.4092247107221887,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,B_static_observed,5,tangential,1.452,1.0,5.0,1.5241631021002127,True,0.027407158384187585,0.19963760577730913,0.8699614874269278,1.6114618001579986,0.9165960419962608,61;135;195;105,0.40000000000205155,0.40043287278553225,0.3974662850150088,0.9976931681528421,True,0.001082181958696194,False,False,0.01102265165558547,0.010868466594052944,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_static_observed,6,tangential,1.452,1.0,0.0,0.2245592592994116,True,0.029385424400196744,0.7533397047013947,1.2127784289251462,1.7380172239100846,0.9430087112824622,61;135;195;105,0.40000000000205155,0.39866138086543496,0.3940724871459057,0.996652287300716,True,0.0033465478415243164,False,False,0.017505730659004848,0.23539733414969996,0.33534259;0.40000000;0.46297132,False,B,abstain
evaluation,B_static_observed,7,tangential,1.452,1.0,5.0,1.5345725286860636,True,0.03053483377738243,0.1803718321819307,0.811494260132596,1.5561689721695224,0.836806602306316,61;135;195;105,0.40000000000205155,0.3932451808597268,0.38710836107359703,0.9975782795485049,True,0.016887047855725215,False,False,0.014188835990005089,-0.0678290671196985,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_slow_OU,0,radial,3.0,1.0,0.0,0.4058657004937719,True,0.03177698366962467,0.795388216928823,1.3189337328193294,1.8668375286285457,1.1935603608304755,61;135;195;105,0.40000000000205155,-0.04176803491692858,-0.035087253012179645,0.21001410931479314,False,1.104420087291786,True,False,0.001891596638892934,0.7138279029971265,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_slow_OU,1,radial,3.0,1.0,5.0,1.5641100256850327,True,0.021935296205065943,0.3635783941577612,1.3875902822282609,2.4961157758683865,1.7373304052998986,61;135;195;105,0.40000000000205155,0.39382974543312416,0.39388962281345513,0.9997258800782812,True,0.015425636422239363,False,False,0.00015347307041824187,-0.42018670656399987,0.33534259;0.40000000;0.46297132,False,abstain,abstain
evaluation,B_slow_OU,2,radial,3.0,1.0,0.0,0.3738811391534842,True,0.02667431869984488,0.9377743111112765,1.5809437917605054,2.4912759424983384,1.3629277915652416,61;135;195;105,0.40000000000205155,0.17528305415146497,0.056343712496350604,0.4985909240560559,False,0.5617923646235851,True,False,0.000708940192593599,0.736291423430504,0.33534259;0.40000000;0.46297132,False,abstain,abstain
